id,parentid,text,value
21,18,3.3	Early Middle Ages,2
22,18,3.4	High and Late Middle Ages,2
23,18,3.5	Early modern period,2
24,23,3.6	18th and 19th centuries,3
25,23,3.7	20th century to the present,3
26,0,4	Geography,1
27,26,4.1	Climate,2
28,26,4.2	Geology,2
29,26,4.3	Flora,2
30,26,4.4	Fauna,2
31,0,5	Politics,1
32,0,6	List of states and territories,1
33,0,7	Economy,1
34,33,7.1	Economic history,2
35,0,8	Demographics,1
36,35,8.1	Ethnic groups,2
37,35,8.2	Migration,2
38,35,8.3	Languages,2
39,0,9	Culture,1
40,39,9.1	Religion,2
c9,40,,4
c9-1,c9,the,4
c9-2,c9,Greek,4
c9-3,c9,p,4
c9-4,c9,In,4
c9-5,c9,ē,4
c9-6,c9,εὐ,4
c9-7,c9,has,4
c9-8,c9,been,4
c9-9,c9,or,4
c9-10,c9,ρύς,4
c10,40,,4
c10-1,c10,the,4
c10-2,c10,of,4
c10-3,c10,Greek,4
c10-4,c10,ē,4
c10-5,c10,p,4
c10-6,c10,os,4
c10-7,c10,there,4
c10-8,c10,t,4
c10-9,c10,been,4
c10-10,c10,these,4
c11,40,,4
c11-1,c11,the,4
c11-2,c11,from,4
c11-3,c11,use,4
c11-4,c11,shū,4
c11-5,c11,欧州,4
c11-6,c11,is,4
c11-7,c11,of,4
c11-8,c11,used,4
c11-9,c11,uzhō,4
c11-10,c11,歐洲,4
44,40,,4
45,40,,4
46,40,,4
c12,40,,4
c12-1,c12,Austria,4
c12-2,c12,Belarus,4
c13,40,,4
c13-1,c13,UK,4
c13-2,c13,Estonia,4
c13-3,c13,Denmark,4
c13-4,c13,Gib,4
c14,40,,4
c14-1,c14,UK,4
c14-2,c14,Lux,4
c14-3,c14,Russia,4
c14-4,c14,Mon,4
50,40,,4
c15,40,,4
c15-1,c15,the,4
c15-2,c15,Sea,4
c15-3,c15,Bay,4
c15-4,c15,of,4
c15-5,c15,be,4
c15-6,c15,taken,4
c15-7,c15,term,4
c15-8,c15,as,4
c15-9,c15,has,4
c15-10,c15,diz,4
c16,40,,4
c16-1,c16,the,4
c16-2,c16,are,4
c16-3,c16,was,4
c16-4,c16,an,4
c16-5,c16,but,4
c16-6,c16,Asia,4
c16-7,c16,or,4
c16-8,c16,nearest,4
c16-9,c16,is,4
c16-10,c16,be,4
c17,40,,4
c17-1,c17,used,4
c17-2,c17,may,4
54,40,,4
c18,40,,4
c18-1,c18,the,4
c18-2,c18,of,4
c18-3,c18,a,4
c18-4,c18,by,4
c18-5,c18,ē,4
c18-6,c18,from,4
c18-7,c18,is,4
c18-8,c18,p,4
c18-9,c18,usage,4
c18-10,c18,three,4
c19,40,,4
c19-1,c19,the,4
c19-2,c19,era,4
c19-3,c19,by,4
c19-4,c19,Ages,4
c19-5,c19,of,4
c19-6,c19,usage,4
c19-7,c19,such,4
c19-8,c19,took,4
c19-9,c19,The,4
c19-10,c19,used,4
c20,40,,4
c20-1,c20,the,4
c20-2,c20,of,4
c20-3,c20,term,4
c20-4,c20,used,4
c20-5,c20,time,4
c20-6,c20,for,4
c20-7,c20,is,4
c20-8,c20,that,4
c20-9,c20,century,4
c21,40,,4
c21-1,c21,the,4
c21-2,c21,of,4
c21-3,c21,century,4
c21-4,c21,Latin,4
c21-5,c21,dubious,4
c21-6,c21,new,4
c21-7,c21,discuss,4
c21-8,c21,The,4
c21-9,c21,figures,4
c21-10,c21,Alcuin,4
59,40,,4
c22,40,,4
c22-1,c22,the,4
c22-2,c22,regina,4
c22-3,c22,of,4
c22-4,c22,question,4
c22-5,c22,began,4
c22-6,c22,Queen,4
c22-7,c22,Asia,4
c23,40,,4
c23-1,c23,the,4
c23-2,c23,Sea,4
c23-3,c23,by,4
c23-4,c23,where,4
c23-5,c23,century,4
c23-6,c23,division,4
c23-7,c23,at,4
c23-8,c23,of,4
c23-9,c23,now,4
c23-10,c23,bend,4
c24,40,,4
c24-1,c24,the,4
c24-2,c24,was,4
c24-3,c24,von,4
c24-4,c24,Johan,4
c24-5,c24,from,4
c24-6,c24,Don,4
c24-7,c24,by,4
c24-8,c24,drainage,4
c24-9,c24,between,4
c24-10,c24,Ural,4
c25,40,,4
